tag,window,kmer,top_ratio,normalization,score_min,score_max,test_score_std_avg,test_clip_max_rate_avg,test_class_score_spread,baseline_score_error_pearson,germ_bo_score_error_pearson,baseline_score_margin_pearson,germ_bo_score_margin_pearson,test_entropy3_pearson,test_gc_pearson,test_max3_pearson,quality_score
w32_k2_t025_train_minmax_r08_12,32,2,0.25,train_minmax,0.8,1.2,0.0399198510311335,0.0,0.01842315300000108,0.08794338536488008,0.038256735395396965,0.010026061855733702,0.01939316730179334,0.09815528763795277,-0.05840046077250368,0.03125626382455633,0.06904930545498202
w64_k2_t025_train_minmax_r07_13,64,2,0.25,train_minmax,0.7,1.3,0.048560152789660777,0.0,0.012736739000000608,0.038496131355095366,0.006132308868025666,0.04260041699768077,0.06641985479745828,0.009307365441446159,0.008726818944060074,0.13245334328158434,0.06790481004554152
w48_k2_t025_train_minmax_r08_12,48,2,0.25,train_minmax,0.8,1.2,0.03582071557979442,0.0,0.011653146000000225,0.05257756871704783,0.01659741248334464,0.039285868663896384,0.060630704187048884,0.03785898190296309,-0.024288065891697245,0.09831621231000318,0.06784579895434198
w32_k2_t05_train_minmax_r08_12,32,2,0.5,train_minmax,0.8,1.2,0.03829315728289452,0.0,0.018607642000000868,0.08927407820694526,0.03837341720873898,0.010077799580902252,0.01870159266154049,0.10183662176082546,-0.06200346060110462,0.031254433240184225,0.06682183727693101
w48_k2_t05_train_minmax_r08_12,48,2,0.5,train_minmax,0.8,1.2,0.035211260463705325,0.0,0.012311042999999522,0.056074786005260946,0.018354700583315838,0.03447530942317666,0.05606495001125986,0.039392286897933386,-0.024166791772941055,0.09834708331078881,0.06669435764426851
w32_k2_t10_train_minmax_r08_12,32,2,1.0,train_minmax,0.8,1.2,0.03940503758229285,0.0,0.019653754999999995,0.08780007219341279,0.0360729941448926,0.009258423953488294,0.018817830312752696,0.11645835140788134,-0.060519067924598914,0.018162362194297333,0.06359940098340526
w64_k2_t10_train_minmax_r07_13,64,2,1.0,train_minmax,0.7,1.3,0.04512704875903078,0.0,0.013916396999999137,0.041887221455576294,0.006753270710291235,0.03374242328097722,0.05845584718760104,0.01641813633951232,0.006349002422358343,0.13449131360575012,0.06167575467918192
w48_k2_t10_train_minmax_r08_12,48,2,1.0,train_minmax,0.8,1.2,0.033147342580468926,0.0,0.012087069999998867,0.057267242012835916,0.02028141398804157,0.0225004036124952,0.04390976925176458,0.047342916798129506,-0.019382571656392025,0.09369952428161639,0.06031096714236507
w64_k2_t05_train_minmax_r08_12,64,2,0.5,train_minmax,0.8,1.2,0.033299070530770886,0.0,0.009671985000001215,0.04085899153824854,0.006728593816738248,0.04173425438384473,0.06602032272814427,0.011208811840598897,0.00618428363068525,0.13648918065331994,0.0526164325006373
w64_k2_t025_train_minmax_r08_12,64,2,0.25,train_minmax,0.8,1.2,0.03237342822350934,0.0,0.008491168999999243,0.038496094298806384,0.006132295151172165,0.04260025364138247,0.06641973146071556,0.009307411124627562,0.0087269495650975,0.13245327355227798,0.05171802271520082
